unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,"linked_data_uri""08860560-9147-4237-A9D8-725FBA1CE458""",latitude,longitude,Floor Area
D0527F36-D0E3-4F6A-8FE2-7592B8D66A27,192000,2002-04-19,RG6 4AJ,D,N,F,,27,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/D0527F36-D0E3-4F6A-8FE2-7592B8D66A27/current,51.420075,-0.938633,872.0
40CB5B06-4E51-4FDF-883C-143BE3BA0B61,87500,1996-11-11,RG6 4AJ,D,N,F,,27,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/40CB5B06-4E51-4FDF-883C-143BE3BA0B61/current,51.420075,-0.938633,872.0
8355F008-AE92-55C5-E053-6B04A8C0D090,240000,2019-02-04,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/8355F008-AE92-55C5-E053-6B04A8C0D090/current,51.420075,-0.938633,489.0
FB747FDE-1FC5-4DC8-BBE5-EE8FDFD854B4,189000,2014-03-21,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/FB747FDE-1FC5-4DC8-BBE5-EE8FDFD854B4/current,51.420075,-0.938633,489.0
F9EF1486-1CE4-4C95-9C01-8CD09F25C921,170000,2010-05-28,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/F9EF1486-1CE4-4C95-9C01-8CD09F25C921/current,51.420075,-0.938633,489.0
D2E45569-6864-41F3-9559-4841129A4E1A,145000,2006-02-10,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/D2E45569-6864-41F3-9559-4841129A4E1A/current,51.420075,-0.938633,489.0
DC97093C-FBA3-4B66-801B-62D9B8734289,60950,1997-05-22,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/DC97093C-FBA3-4B66-801B-62D9B8734289/current,51.420075,-0.938633,489.0
A4F8141F-C04C-4042-9AC1-E152B274AC4F,54950,1996-11-27,RG6 4AJ,T,N,F,,29,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/A4F8141F-C04C-4042-9AC1-E152B274AC4F/current,51.420075,-0.938633,489.0
EB1544A5-39F9-4FE4-83BF-D63EF7A8038A,164950,2007-03-15,RG6 4AJ,S,N,F,,30,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/EB1544A5-39F9-4FE4-83BF-D63EF7A8038A/current,51.420075,-0.938633,495.0
EA571CDB-7607-418F-A229-9B52360CCDE8,163000,2006-12-22,RG6 4AJ,S,N,F,,30,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/EA571CDB-7607-418F-A229-9B52360CCDE8/current,51.420075,-0.938633,495.0
B94D11C9-F3C8-4297-B0FE-51415532C618,56500,1997-06-30,RG6 4AJ,S,N,F,,30,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/B94D11C9-F3C8-4297-B0FE-51415532C618/current,51.420075,-0.938633,495.0
288DCE28-BB78-E510-E050-A8C06205480E,240000,2015-11-25,RG6 4AJ,T,N,F,,31,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/288DCE28-BB78-E510-E050-A8C06205480E/current,51.420075,-0.938633,474.0
EADFFE20-766E-4944-BAE3-946903E1D80E,169500,2013-07-19,RG6 4AJ,T,N,F,,31,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/EADFFE20-766E-4944-BAE3-946903E1D80E/current,51.420075,-0.938633,474.0
AC36E09D-D669-42D8-B212-25077ADBB9D4,184950,2007-11-09,RG6 4AJ,T,N,F,,31,NOTTON WAY,LOWER EARLEY,READING,WOKINGHAM,WOKINGHAM,A,http://landregistry.data.gov.uk/data/ppi/transaction/AC36E09D-D669-42D8-B212-25077ADBB9D4/current,51.420075,-0.938633,474.0
